Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.1413,0.076,1.0,0.0,0.0,0.0,0.076,0.924,1.0,10167
0.2,0.1413,0.076,1.0,0.0,0.0,0.0,0.076,0.924,1.0,10167
0.25,0.1413,0.076,1.0,0.0,0.0,0.0,0.076,0.924,1.0,10167
0.3,0.1465,0.0791,1.0,0.0572,0.0065,0.0414,0.0791,0.9209,0.9586,9778
0.35,0.1814,0.0997,1.0,0.1602,0.05,0.2572,0.0997,0.9003,0.7428,7751
0.4,0.2862,0.1679,0.9677,0.3061,0.1799,0.573,0.167,0.8321,0.3946,4455
0.45,0.4385,0.3158,0.7167,0.4131,0.3722,0.5889,0.2808,0.6842,0.1277,1754
0.5,0.5289,0.514,0.5446,0.4892,0.4889,0.5023,0.3595,0.486,0.0424,819
0.55,0.5102,0.6455,0.4217,0.4912,0.4789,0.4027,0.3424,0.3545,0.0191,505
0.6,0.4442,0.7724,0.3118,0.4675,0.4188,0.3042,0.2855,0.2276,0.0076,312
0.65,0.3048,0.8372,0.1863,0.3767,0.285,0.1833,0.1798,0.1628,0.003,172
0.7,0.19,0.9111,0.1061,0.2978,0.177,0.1052,0.105,0.0889,0.0009,90
0.75,0.0675,1.0,0.0349,0.1799,0.0627,0.0349,0.0349,0.0,0.0,27
