year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,3.689169487963536,1.1028122312773565,190,17,74,0,0,31.467375855178368,28.859798649961725,0.7311393218854186,0.4452160195426823,45,0.8971956684472695,0.730573092997721,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.4462573072248614,0.3592385268638116,0,0.37813236779516823,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.42396273437708765,0.35996926566093573,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793,0.4759548967014388,0.3793687224742879,0,0.47612617980327554,0.1,0.7107473218766303,0.9707652773210502
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171222,0.496145700567254,0.41039487366629995,1,0.53279751215046,0.1,0.6946668702169028,0.9816246817679524
2003,1.6591096543984365,0.3828714587073315,282,82,0,0,0,30.90150755463839,28.694001418728547,0.6171622650528292,0.4223966711229583,14,0.6694396650346796,0.5418279465536099,0.7060314350583593,0.9789956441091932
2004,2.7676949225261174,0.6369489684717641,276,89,0,0,0,30.85328286939342,28.56250171980169,0.6517762474874628,0.42457465409317,24,0.6501497909366926,0.6729809326578824,0.7270085972224384,0.976384563653427
2005,1.27223715360512,0.2935931892934892,284,80,0,0,0,30.947197836866245,28.64414127661092,0.6261485435539992,0.4001952929538014,8,0.687715777925822,0.4447818713047874,0.7710294571047741,0.9793357333707335
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524,0.4819980672942691,0.4105909994796664,0,0.44258128428059607,0.1,0.7044052091569716,0.9720643795312649
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374,0.5126207192382684,0.3936234245103907,0,0.4751264959459398,0.1,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.4432907100335417,0.38781452374323644,0,0.44947375171437115,0.1,0.7049469082713763,0.9787269741485642
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004,0.49698328313497125,0.4140613501432396,0,0.455290107166585,0.1,0.7748699298630881,0.9788515200943991
2010,10.869040649147124,2.508240149803183,243,18,23,16,64,31.54643204812009,29.20073851293853,0.7477602344721762,0.441700781241814,76,0.91953173599994,1.0,0.7035794771867028,0.9774817872140303
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051,0.42382934099145253,0.34414277815427885,0,0.4810821721295859,0.1,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.40372851428043366,0.3572809049091622,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,0.1568743397452376,0.0362017707104394,364,0,0,0,0,30.598120378216663,28.800759657901686,0.469069505832612,0.36589492664470974,0,0.5480847944659892,0.14446881485520244,0.7053731095856637,0.9737753555513667
2014,5.033545531024578,1.161587430236441,266,19,79,0,0,31.22183727178657,28.815977770203077,0.6728895737324182,0.3948859181782023,28,0.7975715518939517,0.8145965956890362,0.7071479161481946,0.9801169291827823
2015,0.2958544194033271,0.0682740967853831,364,0,0,0,0,30.54441827116396,29.104950679256763,0.5028219425848476,0.4174449961888359,0,0.528012634841506,0.18293266789635548,0.6898501559144707,0.9758626545403482
2016,10.924685731955426,2.514174250641797,247,16,22,15,65,31.65441310774793,29.188950901731744,0.7677620051585073,0.4272121998920537,54,0.9411279479255086,1.0,0.7032372043149915,0.9845147071460922
2017,0.1441916047945923,0.033274985721829,364,0,0,0,0,30.509341233562147,28.8985796102803,0.5000723423836372,0.3736182472058174,0,0.5139818198007808,0.1408736686171768,0.7059432937092509,0.9776108090690814
2018,3.864051808023461,0.8917042633900294,271,19,74,0,0,31.153179726626675,29.018829443542646,0.6326415732011152,0.4134535565176846,24,0.7715172170265923,0.7415032380014663,0.7049162006865314,0.9777911445553884
2019,1.3743750775898904,0.3171634794438209,287,77,0,0,0,30.64482031603601,29.1110878449289,0.5759880189361253,0.444247371182437,16,0.5763774990927957,0.4474757128504968,0.708839669328669,0.978248031694749
2020,2.0787674060669405,0.4784012660537617,281,84,0,0,0,30.68076568906623,29.080152773776888,0.5921090865437948,0.41803928307016,21,0.5814325844150595,0.5889344182452734,0.7045327445335579,0.9731451654486925
2021,5.252649681384559,1.2121499264733595,265,18,81,0,0,31.17327691252347,29.11475898999052,0.6944399768079201,0.3998226492870947,40,0.7795560913853101,0.8282906050865348,0.6984461237527223,0.9767412020596159
2022,5.991782034318376,1.3827189309965484,263,17,84,0,0,31.42976354335792,29.036070260454675,0.6721517027032111,0.36419048734447246,24,0.8807420605224927,0.8744863771448985,0.6503901931728076,0.9806456018396946
2023,4.303869555595588,0.9932006666759052,268,21,75,0,0,30.978330465543493,29.036161410291022,0.6615093761345678,0.4352705977370579,43,0.7015775125933197,0.7689918472247241,0.7051948339661466,0.9732835821393389
2024,11.107513702496776,2.556249728793779,250,15,19,12,69,31.95171248452768,29.539456441037327,0.8211095210498012,0.4650127460471781,67,1.0,1.0,0.6156984876778293,0.9767136384505241
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.07995209288753,0.445523767992437,0.36877057566004345,0,0.4401286981158513,0.1,0.5583287536080246,0.9742569997820059
