year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,3.6891694879635364,1.1028122312773563,190,17,74,0,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,1.6591096543984365,0.3828714587073315,282,82,0,0,0,30.90150755463839,28.694001418728547
2004,2.7676949225261174,0.6369489684717641,276,89,0,0,0,30.85328286939342,28.562501719801695
2005,1.27223715360512,0.29359318929348927,284,80,0,0,0,30.947197836866245,28.644141276610917
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,10.869040649147125,2.508240149803183,243,18,23,16,64,31.54643204812009,29.20073851293853
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,0.1568743397452376,0.036201770710439445,364,0,0,0,0,30.598120378216663,28.800759657901686
2014,5.033545531024578,1.161587430236441,266,19,79,0,0,31.22183727178657,28.815977770203073
2015,0.2958544194033271,0.06827409678538317,364,0,0,0,0,30.54441827116396,29.104950679256763
2016,10.924685731955426,2.514174250641797,247,16,22,15,65,31.65441310774793,29.188950901731744
2017,0.14419160479459237,0.033274985721829006,364,0,0,0,0,30.509341233562147,28.8985796102803
2018,3.8640518080234605,0.8917042633900294,271,19,74,0,0,31.153179726626675,29.018829443542646
2019,1.3743750775898904,0.3171634794438209,287,77,0,0,0,30.64482031603601,29.1110878449289
2020,2.0787674060669405,0.4784012660537617,281,84,0,0,0,30.68076568906623,29.080152773776888
2021,5.2526496813845585,1.2121499264733595,265,18,81,0,0,31.17327691252347,29.11475898999052
2022,5.991782034318376,1.3827189309965484,263,17,84,0,0,31.42976354335792,29.036070260454675
2023,4.303869555595588,0.9932006666759051,268,21,75,0,0,30.978330465543493,29.036161410291022
2024,11.107513702496776,2.556249728793779,250,15,19,12,69,31.95171248452768,29.539456441037327
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.079952092887535
