feature,importance
pcrvi,0.42752249626913147
oni_lag60,0.14904606243344024
doy_sin,0.1474998365243006
cdr_norm_lag14,0.044700418236407836
ta_norm,0.035875013797144695
dmi_lag60,0.029953841729975172
bh_norm_lag7,0.029454133530341507
bh_norm_lag14,0.027593778445163256
cdr_norm,0.026123700304804265
bh_norm,0.019848612567538098
sst_anomaly,0.017831164721294618
ta_norm_lag14,0.013298891166265007
cdr_norm_lag7,0.009525264797707315
pcrvi_lag14,0.0047656967482285675
pcrvi_lag7,0.003230155944783314
doy_cos,0.002487458375563214
ta_norm_lag7,0.001759826883774385
sr_norm_lag14,0.001730090192074023
sr_norm_lag7,0.0015474676151318162
la_norm,0.0012940212750318808
la_norm_lag14,0.0010988020793218924
sr_norm,0.00104333473978442
wq_norm_lag14,0.0009444050857101193
la_norm_lag7,0.000826298704668592
wq_norm_lag7,0.0005784294733166197
wq_norm,0.0004207983590971453
