feature,importance
doy_sin,0.5384579
pcrvi,0.09857497
oni_lag60,0.06181138
pcrvi_lag7,0.046654552
bh_norm,0.04043215
bh_norm_lag14,0.033057354
sr_norm,0.03251561
cdr_norm,0.028627137
sst_anomaly,0.018741546
ta_norm_lag14,0.014775178
cdr_norm_lag7,0.014657316
cdr_norm_lag14,0.012181795
ta_norm,0.011086503
dmi_lag60,0.010529303
bh_norm_lag7,0.010419576
ta_norm_lag7,0.0068929656
pcrvi_lag14,0.0063942275
sr_norm_lag7,0.005167881
la_norm,0.0030194705
la_norm_lag14,0.001911405
sr_norm_lag14,0.0013089502
doy_cos,0.00094026007
wq_norm,0.00076019444
wq_norm_lag14,0.00045358305
wq_norm_lag7,0.0003214593
la_norm_lag7,0.00030737976
