feature,importance,display_name
oni_lag60,0.22044628670473226,El Niño Index (60-day lag) (ONI_L60)
ta_norm,0.20733644302546703,Thermal Anomaly (TA)
pcrvi,0.17995093621062644,Coral Reef Vulnerability Index (pCRVI)
cdr_norm_lag14,0.10208608392024972,Climate Driver Response (14-day lag) (CDR_L14)
doy_sin,0.09450329876743323,Seasonal Cycle (sine) (DoY_sin)
dmi_lag60,0.05709265726451819,Indian Ocean Dipole (60-day lag) (DMI_L60)
sst_anomaly,0.04028469301374265,SST Anomaly (SSTA)
ta_norm_lag14,0.01688937871629494,Thermal Anomaly (14-day lag) (TA_L14)
bh_norm,0.012380620622121061,Population Vulnerability (BH)
cdr_norm,0.011695717498305926,Climate Driver Response (CDR)
bh_norm_lag14,0.009631735869041732,Population Vulnerability (14-day lag) (BH_L14)
bh_norm_lag7,0.008228989016356172,Population Vulnerability (7-day lag) (BH_L7)
doy_cos,0.007489688711856878,Seasonal Cycle (cosine) (DoY_cos)
pcrvi_lag14,0.005082379785638504,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
sr_norm,0.004198837038376571,Seasonal Bleaching Risk (SR)
sr_norm_lag14,0.0034631856580148836,Seasonal Bleaching Risk (14-day lag) (SR_L14)
pcrvi_lag7,0.0032052302141778967,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
ta_norm_lag7,0.0027282882907197596,Thermal Anomaly (7-day lag) (TA_L7)
sr_norm_lag7,0.0026069395225174295,Seasonal Bleaching Risk (7-day lag) (SR_L7)
cdr_norm_lag7,0.0025194606740019257,Climate Driver Response (7-day lag) (CDR_L7)
la_norm,0.001872164758641461,Light Availability (LA)
la_norm_lag7,0.0016452253258677698,Light Availability (7-day lag) (LA_L7)
wq_norm_lag14,0.0014680994691609285,Water Quality Stress (14-day lag) (WQ_L14)
la_norm_lag14,0.0012751537357830343,Light Availability (14-day lag) (LA_L14)
wq_norm_lag7,0.0011376103987472694,Water Quality Stress (7-day lag) (WQ_L7)
wq_norm,0.0007808957876065143,Water Quality Stress (WQ)
