Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.1413,0.076,1.0,0.0,0.0,0.0,0.076,0.924,1.0,10167
0.2,0.1413,0.076,1.0,0.0,0.0,0.0,0.076,0.924,1.0,10167
0.25,0.1413,0.076,1.0,0.0,0.0,0.0,0.076,0.924,1.0,10167
0.3,0.1451,0.0782,1.0,0.0488,0.0048,0.0304,0.0782,0.9218,0.9696,9881
0.35,0.1807,0.0993,1.0,0.1588,0.0492,0.254,0.0993,0.9007,0.746,7781
0.4,0.2862,0.1676,0.9793,0.3089,0.1797,0.579,0.167,0.8324,0.4003,4517
0.45,0.4651,0.337,0.7503,0.4445,0.4024,0.6289,0.303,0.663,0.1215,1721
0.5,0.5433,0.5433,0.5433,0.5058,0.5058,0.5058,0.373,0.4567,0.0376,773
0.55,0.5117,0.6766,0.4114,0.4988,0.4819,0.3952,0.3438,0.3234,0.0162,470
0.6,0.4341,0.7838,0.3001,0.4624,0.4092,0.2933,0.2772,0.2162,0.0068,296
0.65,0.2814,0.8291,0.1695,0.357,0.2624,0.1666,0.1638,0.1709,0.0029,158
0.7,0.1754,0.9146,0.097,0.2853,0.1632,0.0963,0.0962,0.0854,0.0007,82
0.75,0.0578,1.0,0.0298,0.166,0.0536,0.0298,0.0298,0.0,0.0,23
