feature,importance
pcrvi_lag14,0.4412420452948133
pcrvi_lag7,0.09535777470768053
sst_anomaly,0.0929926761514458
oni_lag60,0.06514804188187463
bh_norm,0.06323232334087894
cdr_norm,0.04445963387065142
dmi_lag60,0.03156100266738621
pcrvi,0.022006977572955794
bh_norm_lag14,0.021600596307699036
doy_cos,0.02095470401984567
bh_norm_lag7,0.019048620939335504
sr_norm_lag14,0.017064110333317326
cdr_norm_lag14,0.01605548933133523
ta_norm,0.012055176537512334
ta_norm_lag14,0.011346612489471174
doy_sin,0.010377971787311155
cdr_norm_lag7,0.006370068555547688
sr_norm,0.003114375185193638
sr_norm_lag7,0.0020946246414840905
ta_norm_lag7,0.0016101594939090173
la_norm,0.0005235164785100651
wq_norm_lag14,0.0004373496747126264
wq_norm_lag7,0.00040127176649983574
wq_norm,0.00034731296492552177
la_norm_lag7,0.0003160055543523405
la_norm_lag14,0.00028155845135127347
