feature,importance
sr_norm,0.58207756
bh_norm_lag14,0.090359166
pcrvi,0.06065691
oni_lag60,0.05372851
doy_sin,0.046140257
pcrvi_lag14,0.019818297
doy_cos,0.018238965
cdr_norm_lag14,0.016051302
bh_norm,0.015922695
bh_norm_lag7,0.014710484
cdr_norm,0.01385304
dmi_lag60,0.013749705
cdr_norm_lag7,0.010208953
ta_norm_lag7,0.0077034174
sr_norm_lag7,0.006914304
pcrvi_lag7,0.006683136
ta_norm_lag14,0.0049355784
sst_anomaly,0.003535099
ta_norm,0.003378884
sr_norm_lag14,0.0024244485
la_norm_lag7,0.0022235124
la_norm,0.0020263745
wq_norm,0.0019008138
wq_norm_lag14,0.0015961819
wq_norm_lag7,0.00081442285
la_norm_lag14,0.0003479693
