feature,importance,display_name
pcrvi,0.4731690075296396,Coral Reef Vulnerability Index (pCRVI)
oni_lag60,0.15960963697113087,El Niño Index (60-day lag) (ONI_L60)
doy_sin,0.11408942991905047,Seasonal Cycle (sine) (DoY_sin)
dmi_lag60,0.05906194559512985,Indian Ocean Dipole (60-day lag) (DMI_L60)
cdr_norm_lag14,0.0536161979580739,Climate Driver Response (14-day lag) (CDR_L14)
sst_anomaly,0.02089501664558326,SST Anomaly (SSTA)
ta_norm,0.017874446381727728,Thermal Anomaly (TA)
cdr_norm_lag7,0.01732219883035692,Climate Driver Response (7-day lag) (CDR_L7)
bh_norm_lag14,0.014954651543301943,Population Vulnerability (14-day lag) (BH_L14)
cdr_norm,0.014512880672377887,Climate Driver Response (CDR)
ta_norm_lag14,0.0092493401717756,Thermal Anomaly (14-day lag) (TA_L14)
bh_norm,0.008927804865078656,Population Vulnerability (BH)
bh_norm_lag7,0.0075942325828242535,Population Vulnerability (7-day lag) (BH_L7)
sr_norm,0.007491132244145109,Seasonal Bleaching Risk (SR)
sr_norm_lag7,0.004963643953201858,Seasonal Bleaching Risk (7-day lag) (SR_L7)
pcrvi_lag14,0.0037080196743617313,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
doy_cos,0.0035743841296347863,Seasonal Cycle (cosine) (DoY_cos)
sr_norm_lag14,0.002147038204040129,Seasonal Bleaching Risk (14-day lag) (SR_L14)
ta_norm_lag7,0.0019514522377329078,Thermal Anomaly (7-day lag) (TA_L7)
la_norm_lag14,0.0016806200069085936,Light Availability (14-day lag) (LA_L14)
la_norm,0.001099473954433298,Light Availability (LA)
pcrvi_lag7,0.0009573383632579421,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
wq_norm_lag7,0.0006694259660293414,Water Quality Stress (7-day lag) (WQ_L7)
wq_norm,0.00041865869590261334,Water Quality Stress (WQ)
la_norm_lag7,0.00030682639094397604,Light Availability (7-day lag) (LA_L7)
wq_norm_lag14,0.00015519651335683723,Water Quality Stress (14-day lag) (WQ_L14)
