feature,importance
doy_sin,0.2842129094792526
oni_lag60,0.22978065696399394
pcrvi_lag7,0.09753363519426117
cdr_norm_lag14,0.09598205114138747
sst_anomaly,0.09077331339200606
pcrvi,0.03843814981973914
doy_cos,0.02849757179984859
dmi_lag60,0.02665847460305336
bh_norm_lag14,0.0169163245876243
cdr_norm,0.015890408276891314
ta_norm,0.014915906457746923
bh_norm_lag7,0.008966186375523138
cdr_norm_lag7,0.008652089569829047
bh_norm,0.007560169216598986
sr_norm_lag14,0.006424534757497059
sr_norm,0.005266674931396915
pcrvi_lag14,0.004747687339345008
ta_norm_lag7,0.004260112210129568
la_norm_lag7,0.00399353344565122
sr_norm_lag7,0.003797078009443377
ta_norm_lag14,0.003622298269424838
la_norm,0.0013350317142980174
wq_norm_lag7,0.0007835107769200307
la_norm_lag14,0.0007440721581929597
wq_norm_lag14,0.00012500508612738495
wq_norm,0.00012261442381757097
