feature,importance
pcrvi_lag14,0.2969272602605674
pcrvi_lag7,0.21141679975203898
pcrvi,0.12861091278868456
sst_anomaly,0.07783824461836285
sr_norm,0.07766005189462939
oni_lag60,0.04647057004662698
cdr_norm,0.029898635055618853
bh_norm,0.02487898080655435
cdr_norm_lag14,0.017413460564100987
dmi_lag60,0.01663929051946027
cdr_norm_lag7,0.01628668402303285
doy_sin,0.014616564771283595
bh_norm_lag7,0.014177448612186765
bh_norm_lag14,0.009327160611449135
doy_cos,0.00544365057372348
ta_norm_lag14,0.003745887195485992
sr_norm_lag14,0.003458446380470364
ta_norm,0.0016131076184131858
ta_norm_lag7,0.0009835696515433858
wq_norm,0.0008710869592977679
la_norm_lag7,0.00044654232565148665
la_norm_lag14,0.0003274405038249761
sr_norm_lag7,0.00029820308390264257
la_norm,0.0002550766084534038
wq_norm_lag14,0.0002209607398602455
wq_norm_lag7,0.00017396403477591175
