feature,importance
sr_norm,0.60847497
pcrvi,0.080538794
pcrvi_lag7,0.062412977
bh_norm_lag14,0.044244867
bh_norm_lag7,0.03772009
pcrvi_lag14,0.028058385
bh_norm,0.021723844
oni_lag60,0.021701504
doy_sin,0.021200066
cdr_norm_lag14,0.014797318
dmi_lag60,0.010803764
cdr_norm,0.009535586
cdr_norm_lag7,0.007897136
sst_anomaly,0.0077337595
sr_norm_lag7,0.0038777445
doy_cos,0.0038547688
sr_norm_lag14,0.0033770243
ta_norm,0.002827141
ta_norm_lag14,0.0024665943
ta_norm_lag7,0.0024452708
la_norm,0.001671014
la_norm_lag7,0.0008119316
la_norm_lag14,0.00061306026
wq_norm,0.00049414136
wq_norm_lag14,0.00042054246
wq_norm_lag7,0.0002977454
