feature,importance,display_name
pcrvi_lag7,0.30153244299904636,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
pcrvi,0.24022911855723483,Coral Reef Vulnerability Index (pCRVI)
pcrvi_lag14,0.1963661746167839,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
sst_anomaly,0.04631178301532815,SST Anomaly (SSTA)
cdr_norm,0.043868506046488,Climate Driver Response (CDR)
oni_lag60,0.038728030455778654,El Niño Index (60-day lag) (ONI_L60)
dmi_lag60,0.03338572831007813,Indian Ocean Dipole (60-day lag) (DMI_L60)
sr_norm,0.022172467817131107,Seasonal Bleaching Risk (SR)
cdr_norm_lag14,0.014209965648176379,Climate Driver Response (14-day lag) (CDR_L14)
bh_norm,0.01369689788595967,Population Vulnerability (BH)
bh_norm_lag7,0.008331717465681858,Population Vulnerability (7-day lag) (BH_L7)
cdr_norm_lag7,0.00824614897033322,Climate Driver Response (7-day lag) (CDR_L7)
bh_norm_lag14,0.007038037562882791,Population Vulnerability (14-day lag) (BH_L14)
doy_sin,0.0066873920531818265,Seasonal Cycle (sine) (DoY_sin)
ta_norm,0.0046809854722054305,Thermal Anomaly (TA)
sr_norm_lag14,0.0037128111977788223,Seasonal Bleaching Risk (14-day lag) (SR_L14)
sr_norm_lag7,0.003456085218506771,Seasonal Bleaching Risk (7-day lag) (SR_L7)
doy_cos,0.0025533948610400228,Seasonal Cycle (cosine) (DoY_cos)
ta_norm_lag14,0.002433759128640353,Thermal Anomaly (14-day lag) (TA_L14)
la_norm_lag7,0.0010113813408900107,Light Availability (7-day lag) (LA_L7)
ta_norm_lag7,0.0005744399846918909,Thermal Anomaly (7-day lag) (TA_L7)
la_norm_lag14,0.00017660201314405324,Light Availability (14-day lag) (LA_L14)
wq_norm_lag14,0.00015800998759287897,Water Quality Stress (14-day lag) (WQ_L14)
wq_norm,0.00015387473682688789,Water Quality Stress (WQ)
la_norm,0.00014641080571077035,Light Availability (LA)
wq_norm_lag7,0.0001378338488874296,Water Quality Stress (7-day lag) (WQ_L7)
