Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.1985,0.1102,1.0,0.0,0.0,0.0,0.1102,0.8898,1.0,10167
0.2,0.1985,0.1102,1.0,0.0,0.0,0.0,0.1102,0.8898,1.0,10167
0.25,0.1992,0.1106,1.0,0.0221,0.001,0.0044,0.1106,0.8894,0.9956,10127
0.3,0.2126,0.1189,1.0,0.0994,0.0196,0.083,0.1189,0.8811,0.917,9416
0.35,0.2727,0.1579,1.0,0.2316,0.1018,0.3397,0.1579,0.8421,0.6603,7094
0.4,0.4219,0.2697,0.9688,0.4123,0.3016,0.644,0.2674,0.7303,0.3247,4023
0.45,0.57,0.4548,0.7634,0.5243,0.5011,0.6501,0.3986,0.5452,0.1133,1880
0.5,0.6171,0.6566,0.5821,0.5742,0.5729,0.5445,0.4463,0.3434,0.0377,993
0.55,0.5906,0.817,0.4625,0.5822,0.5552,0.4497,0.4191,0.183,0.0128,634
0.6,0.4792,0.8846,0.3286,0.5109,0.4461,0.3233,0.3151,0.1154,0.0053,416
0.65,0.3133,0.9766,0.1866,0.4058,0.2882,0.1861,0.1858,0.0234,0.0006,214
0.7,0.1759,1.0,0.0964,0.2945,0.1596,0.0964,0.0964,0.0,0.0,108
0.75,0.1081,1.0,0.0571,0.2262,0.0974,0.0571,0.0571,0.0,0.0,64
