year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,5.3142939751848655,1.588614569094408,183,17,81,0,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.14495744765262636,0.03345171868906762,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.14638379963727285,0.033780876839370665,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,2.525456334099539,0.582797615561432,277,87,0,0,0,30.90150755463839,28.694001418728547
2004,3.1529851016449593,0.7256184891456892,275,22,68,0,0,30.85328286939342,28.562501719801695
2005,1.9593231114743734,0.45215148726331694,280,84,0,0,0,30.947197836866245,28.644141276610917
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.2897701057108293,0.06687002439480676,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,12.471097506042495,2.8779455783174988,237,19,23,15,70,31.54643204812009,29.20073851293853
2011,0.14672744491202291,0.03386017959508222,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,1.0790744226846596,0.2490171744656906,289,75,0,0,0,30.598120378216663,28.800759657901686
2014,5.85899083568736,1.3520748082355445,263,18,83,0,0,31.22183727178657,28.815977770203073
2015,0.6295614737121592,0.1452834170104983,364,0,0,0,0,30.54441827116396,29.104950679256763
2016,11.866143043658882,2.7308383990886194,245,16,21,13,70,31.65441310774793,29.188950901731744
2017,0.7515786750999983,0.17344123271538422,364,0,0,0,0,30.509341233562147,28.8985796102803
2018,4.284327049541357,0.9886908575864669,270,18,76,0,0,31.153179726626675,29.018829443542646
2019,2.685878558454213,0.6198181288740492,276,88,0,0,0,30.64482031603601,29.1110878449289
2020,2.8545336210157033,0.6569337648364906,273,92,0,0,0,30.68076568906623,29.080152773776888
2021,6.209690959025409,1.4330056059289404,261,18,37,48,0,31.17327691252347,29.11475898999052
2022,6.391782034318382,1.4750266233042422,262,16,25,61,0,31.42976354335792,29.036070260454675
2023,4.646726698452737,1.0723215457967854,266,20,78,0,0,30.978330465543493,29.036161410291022
2024,12.47863000047488,2.8717943014791505,245,16,19,12,73,31.95171248452768,29.539456441037327
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.079952092887535
