feature,importance
oni_lag60,0.3122537848968167
doy_sin,0.23877741066051889
sst_anomaly,0.07051455908088831
cdr_norm,0.044277564470610715
pcrvi,0.041074262381087155
dmi_lag60,0.03863957395878169
ta_norm_lag14,0.036541460239814
doy_cos,0.030707454495600195
pcrvi_lag14,0.029885106375398873
ta_norm_lag7,0.024976133705064726
bh_norm,0.024564981937121512
cdr_norm_lag14,0.02451842651134558
ta_norm,0.02176972653937973
bh_norm_lag7,0.012707438984910316
bh_norm_lag14,0.010714187321532013
pcrvi_lag7,0.010575895536519175
sr_norm_lag14,0.008432568309104285
cdr_norm_lag7,0.007005691558541785
sr_norm,0.005391013468873191
sr_norm_lag7,0.0034676261619788155
la_norm_lag7,0.0011708324226582642
la_norm_lag14,0.0010663156835242526
wq_norm_lag7,0.0003108120919035979
la_norm,0.00029633505914695833
wq_norm,0.0002310596790126123
wq_norm_lag14,0.0001297784698665926
