feature,importance
sst_anomaly,0.2969687505772113
oni_lag60,0.13780029946278918
pcrvi,0.08717883460573282
cdr_norm,0.08695096969559597
cdr_norm_lag14,0.06739224776771414
sr_norm,0.06696576521571763
sr_norm_lag7,0.06676120304899692
doy_sin,0.04914425643139012
cdr_norm_lag7,0.03761082327791305
ta_norm_lag14,0.03375552986693084
bh_norm_lag14,0.01186154819130397
pcrvi_lag14,0.011783101397398571
dmi_lag60,0.010749042541247549
bh_norm_lag7,0.006861132821009829
bh_norm,0.005735323648889361
pcrvi_lag7,0.005029551480029026
sr_norm_lag14,0.004680569054827734
ta_norm_lag7,0.003919642012817012
ta_norm,0.003603030102386087
doy_cos,0.0035761324108791663
la_norm,0.0004898628030614185
la_norm_lag7,0.0004886589093986292
la_norm_lag14,0.00030961463081044787
wq_norm_lag7,0.00015625615477507808
wq_norm,0.00013899856833860975
wq_norm_lag14,8.885532283546844e-05
