feature,importance
doy_sin,0.6078171
pcrvi,0.061837822
oni_lag60,0.04046889
doy_cos,0.040253215
bh_norm,0.03327875
pcrvi_lag14,0.030475356
ta_norm_lag14,0.023207467
sr_norm_lag7,0.022887839
dmi_lag60,0.019803101
bh_norm_lag7,0.016307274
cdr_norm_lag14,0.015133521
sst_anomaly,0.014923122
ta_norm,0.012148175
bh_norm_lag14,0.012117651
sr_norm_lag14,0.010171161
pcrvi_lag7,0.008958917
cdr_norm_lag7,0.007912586
cdr_norm,0.007008973
sr_norm,0.0059930407
ta_norm_lag7,0.0059521333
la_norm,0.001219308
la_norm_lag14,0.0009787313
wq_norm,0.0003894397
la_norm_lag7,0.00033702634
wq_norm_lag7,0.00025196295
wq_norm_lag14,0.00016736702
