feature,importance,display_name
pcrvi,0.4990128703990402,Coral Reef Vulnerability Index (pCRVI)
pcrvi_lag14,0.10551496360498885,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
pcrvi_lag7,0.10444079332529548,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
sst_anomaly,0.07199439764618555,SST Anomaly (SSTA)
oni_lag60,0.037623183674113325,El Niño Index (60-day lag) (ONI_L60)
bh_norm,0.031732767026406095,Population Vulnerability (BH)
cdr_norm_lag14,0.0257055503809363,Climate Driver Response (14-day lag) (CDR_L14)
doy_cos,0.02020575734433475,Seasonal Cycle (cosine) (DoY_cos)
doy_sin,0.017066844312899874,Seasonal Cycle (sine) (DoY_sin)
bh_norm_lag7,0.016033442109923232,Population Vulnerability (7-day lag) (BH_L7)
cdr_norm,0.01378883799643528,Climate Driver Response (CDR)
bh_norm_lag14,0.011211684707386383,Population Vulnerability (14-day lag) (BH_L14)
dmi_lag60,0.009581012835068396,Indian Ocean Dipole (60-day lag) (DMI_L60)
cdr_norm_lag7,0.009149562419808398,Climate Driver Response (7-day lag) (CDR_L7)
ta_norm,0.007656614267927066,Thermal Anomaly (TA)
sr_norm_lag14,0.006159689381017006,Seasonal Bleaching Risk (14-day lag) (SR_L14)
sr_norm,0.005991389350879492,Seasonal Bleaching Risk (SR)
ta_norm_lag14,0.0034815764402811437,Thermal Anomaly (14-day lag) (TA_L14)
sr_norm_lag7,0.001481891902663221,Seasonal Bleaching Risk (7-day lag) (SR_L7)
ta_norm_lag7,0.0009717638748641892,Thermal Anomaly (7-day lag) (TA_L7)
la_norm_lag7,0.00030567060287573395,Light Availability (7-day lag) (LA_L7)
la_norm_lag14,0.0002875793668465211,Light Availability (14-day lag) (LA_L14)
wq_norm,0.0002334229697745865,Water Quality Stress (WQ)
la_norm,0.0001824547416274008,Light Availability (LA)
wq_norm_lag14,0.00011295905363323406,Water Quality Stress (14-day lag) (WQ_L14)
wq_norm_lag7,7.332026478829422e-05,Water Quality Stress (7-day lag) (WQ_L7)
