year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,2.4573996621537026,0.7345963402879396,195,86,0,0,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,1.2687682331244585,0.2927926691825673,285,79,0,0,0,30.90150755463839,28.694001418728547
2004,1.5411660997588572,0.3546793215883398,284,81,0,0,0,30.85328286939342,28.562501719801695
2005,0.6562205211329462,0.1514355048768337,364,0,0,0,0,30.947197836866245,28.644141276610917
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,8.480352302617124,1.9570043775270285,251,17,28,19,49,31.54643204812009,29.20073851293853
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686
2014,3.2916417120914923,0.7596096258672675,273,22,69,0,0,31.22183727178657,28.815977770203073
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763
2016,9.1340424099196,2.102080992967798,251,17,25,17,55,31.65441310774793,29.188950901731744
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803
2018,2.934170857137817,0.6771163516471885,275,89,0,0,0,31.153179726626675,29.018829443542646
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888
2021,4.40001046268583,1.0153870298505763,267,22,75,0,0,31.17327691252347,29.11475898999052
2022,4.792463965222505,1.105953222743655,265,21,78,0,0,31.42976354335792,29.036070260454675
2023,2.437814977268157,0.5625726870618825,278,86,0,0,0,30.978330465543493,29.036161410291022
2024,9.011733471131716,2.073933182397436,256,15,20,15,59,31.95171248452768,29.539456441037327
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.079952092887535
