feature,importance
bh_norm,0.28634609072505746
pcrvi_lag14,0.13099845704818852
sst_anomaly,0.0836703514098254
pcrvi,0.07648564902015194
cdr_norm,0.06833578677067775
pcrvi_lag7,0.04202295582646236
oni_lag60,0.03978592021507614
doy_sin,0.03905835412794962
cdr_norm_lag7,0.03624689784966339
dmi_lag60,0.03194827090827831
cdr_norm_lag14,0.03144548466170371
bh_norm_lag14,0.027534233231187782
bh_norm_lag7,0.02702349358076464
ta_norm,0.024424982693777054
doy_cos,0.013862911940243382
sr_norm_lag14,0.006743232268768469
ta_norm_lag14,0.005880111048345327
ta_norm_lag7,0.005701607123671665
la_norm_lag7,0.004726689389457679
sr_norm_lag7,0.004393970589418957
sr_norm,0.0039714024023957
wq_norm,0.002620240919648602
wq_norm_lag7,0.0023103057361836946
la_norm,0.001747085787052911
wq_norm_lag14,0.0016111154256398693
la_norm_lag14,0.0011043993004095773
