feature,importance
pcrvi_lag7,0.36045566384623584
pcrvi,0.15144789443750423
pcrvi_lag14,0.09256170736471181
cdr_norm,0.06959910386310722
bh_norm,0.05488068013728444
sst_anomaly,0.04992213937551281
doy_sin,0.039802163358258154
dmi_lag60,0.03756509337957521
oni_lag60,0.028740373802206672
cdr_norm_lag14,0.024188868107863637
cdr_norm_lag7,0.022822406382601322
ta_norm,0.02054118505229469
bh_norm_lag7,0.016548301447813923
bh_norm_lag14,0.00963043974702416
doy_cos,0.0058801544365564345
ta_norm_lag14,0.003318142570992354
ta_norm_lag7,0.002859123188341275
sr_norm,0.001915160957635298
sr_norm_lag14,0.0014328873019851442
wq_norm_lag14,0.0012978720688066698
sr_norm_lag7,0.0010611267424225199
la_norm_lag7,0.0009526859967533745
wq_norm,0.0009056862366235147
la_norm_lag14,0.0007757255588233584
wq_norm_lag7,0.0006394912414347687
la_norm,0.00025592339763128377
