feature,importance
doy_sin,0.4254985
pcrvi,0.11772984
bh_norm_lag7,0.0763254
oni_lag60,0.06092279
bh_norm,0.042188175
cdr_norm,0.04064165
pcrvi_lag7,0.040015932
sr_norm,0.036696002
bh_norm_lag14,0.036649868
pcrvi_lag14,0.024537733
cdr_norm_lag14,0.020452518
dmi_lag60,0.01894828
sst_anomaly,0.012281227
ta_norm_lag7,0.011312511
cdr_norm_lag7,0.0071717286
ta_norm,0.0067909
ta_norm_lag14,0.0060666655
la_norm,0.0027232706
doy_cos,0.0026296144
la_norm_lag14,0.0022547087
wq_norm,0.0018881544
sr_norm_lag7,0.0018482866
wq_norm_lag14,0.001659484
la_norm_lag7,0.0014677342
sr_norm_lag14,0.0007841201
wq_norm_lag7,0.00051499455
