feature,importance,display_name
pcrvi,0.4107880470639355,Coral Reef Vulnerability Index (pCRVI)
pcrvi_lag7,0.1358927747739057,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
pcrvi_lag14,0.10724400438637585,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
bh_norm,0.07601981852645369,Population Vulnerability (BH)
dmi_lag60,0.04314374880249325,Indian Ocean Dipole (60-day lag) (DMI_L60)
sst_anomaly,0.04291472170447984,SST Anomaly (SSTA)
oni_lag60,0.041715421194333,El Niño Index (60-day lag) (ONI_L60)
doy_sin,0.023047218734869385,Seasonal Cycle (sine) (DoY_sin)
cdr_norm_lag14,0.018583822357428875,Climate Driver Response (14-day lag) (CDR_L14)
cdr_norm_lag7,0.018374506575041295,Climate Driver Response (7-day lag) (CDR_L7)
bh_norm_lag7,0.018129772239005804,Population Vulnerability (7-day lag) (BH_L7)
cdr_norm,0.01799477446785539,Climate Driver Response (CDR)
bh_norm_lag14,0.01617194286751749,Population Vulnerability (14-day lag) (BH_L14)
doy_cos,0.006570606523794107,Seasonal Cycle (cosine) (DoY_cos)
ta_norm_lag7,0.005960290438690054,Thermal Anomaly (7-day lag) (TA_L7)
ta_norm,0.005352094184350933,Thermal Anomaly (TA)
sr_norm_lag14,0.00290822768739525,Seasonal Bleaching Risk (14-day lag) (SR_L14)
sr_norm,0.0024161806173020085,Seasonal Bleaching Risk (SR)
wq_norm,0.0017846441602549757,Water Quality Stress (WQ)
ta_norm_lag14,0.0014609240388420918,Thermal Anomaly (14-day lag) (TA_L14)
sr_norm_lag7,0.0011139468923186604,Seasonal Bleaching Risk (7-day lag) (SR_L7)
wq_norm_lag14,0.0008554493596465407,Water Quality Stress (14-day lag) (WQ_L14)
wq_norm_lag7,0.00055421089039604,Water Quality Stress (7-day lag) (WQ_L7)
la_norm_lag7,0.0004987868942394415,Light Availability (7-day lag) (LA_L7)
la_norm_lag14,0.00032898138332917743,Light Availability (14-day lag) (LA_L14)
la_norm,0.0001750832357457673,Light Availability (LA)
