Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.1018,0.0536,1.0,0.0,0.0,0.0,0.0536,0.9464,1.0,10167
0.2,0.1018,0.0536,1.0,0.0,0.0,0.0,0.0536,0.9464,1.0,10167
0.25,0.1018,0.0536,1.0,0.0,0.0,0.0,0.0536,0.9464,1.0,10167
0.3,0.1036,0.0546,1.0,0.0327,0.0021,0.0195,0.0546,0.9454,0.9805,9979
0.35,0.1274,0.0681,0.9927,0.1214,0.0301,0.2227,0.068,0.9319,0.77,7950
0.4,0.2031,0.1138,0.945,0.2393,0.1187,0.528,0.113,0.8862,0.417,4527
0.45,0.3461,0.2268,0.7303,0.3512,0.2878,0.5892,0.2093,0.7732,0.141,1755
0.5,0.5212,0.5124,0.5303,0.4937,0.4936,0.5017,0.3524,0.4876,0.0286,564
0.55,0.5011,0.6607,0.4037,0.496,0.48,0.3919,0.3343,0.3393,0.0117,333
0.6,0.4397,0.8159,0.3009,0.4807,0.423,0.2971,0.2818,0.1841,0.0038,201
0.65,0.2906,0.9216,0.1725,0.3879,0.2784,0.1716,0.17,0.0784,0.0008,102
0.7,0.1463,1.0,0.0789,0.2738,0.1395,0.0789,0.0789,0.0,0.0,43
0.75,0.0501,1.0,0.0257,0.156,0.0475,0.0257,0.0257,0.0,0.0,14
