year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,2.457399662153702,0.7345963402879396,195,86,0,0,0,31.467375855178368,28.859798649961725,0.6796833318948581,0.4382154007423278,28,0.8571956684472696,0.6535874788846063,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.41818311656431933,0.35811549622681677,0,0.35292431533483676,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.4247942987575447,0.3598592128070463,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793,0.44267092200244684,0.3782041950882808,0,0.4361261798032757,0.1,0.7107473218766303,0.9707652773210502
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171222,0.47714370934896505,0.4093176762341048,0,0.4927975121504602,0.1,0.6946668702169028,0.9816246817679524
2003,1.2687682331244583,0.2927926691825673,285,79,0,0,0,30.90150755463839,28.694001418728547,0.5744431110046468,0.41926317142213176,8,0.6294396650346797,0.44017803072012085,0.7060314350583593,0.9789956441091932
2004,1.5411660997588572,0.3546793215883398,284,81,0,0,0,30.85328286939342,28.56250171980169,0.5812538493565652,0.41774832118837,12,0.6101497909366926,0.495284046026121,0.7270085972224384,0.976384563653427
2005,0.6562205211329462,0.1514355048768337,364,0,0,0,0,30.947197836866245,28.64414127661092,0.573924798986602,0.3961854288008839,4,0.647715777925822,0.28040402908448814,0.7710294571047741,0.9793357333707335
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524,0.48084024015717336,0.4098832845972173,0,0.40258128428059625,0.1,0.7044052091569716,0.9720643795312649
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374,0.4732872349935976,0.3924474931754539,0,0.43512649594593994,0.1,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.4742287818695823,0.3871845051227864,0,0.4094737517143713,0.1,0.7049469082713763,0.9787269741485642
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004,0.47455777617142203,0.4128418258561872,0,0.4152901071665852,0.1,0.7748699298630881,0.9788515200943991
2010,8.480352302617124,1.9570043775270285,251,17,28,19,49,31.54643204812009,29.20073851293853,0.7062555205120269,0.4355931040627377,58,0.8888181456239579,1.0,0.7035794771867028,0.9774817872140303
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051,0.41960909332896706,0.3428607601101525,0,0.441082172129586,0.1,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.41219554307756046,0.356398006032658,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686,0.4268496733890971,0.3632238424260667,0,0.5080847944659894,0.1,0.7053731095856637,0.9737753555513667
2014,3.2916417120914923,0.7596096258672675,273,22,69,0,0,31.22183727178657,28.815977770203077,0.6243119952571784,0.40761395737114225,24,0.7575715518939519,0.7057276070057183,0.7071479161481946,0.9801169291827823
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763,0.5236836568577451,0.4465445727705079,1,0.48801263484150603,0.1,0.6898501559144707,0.9758626545403482
2016,9.1340424099196,2.102080992967798,251,17,25,17,55,31.65441310774793,29.188950901731744,0.7593149098677832,0.4327085068030998,52,0.932010569475095,1.0,0.7032372043149915,0.9845147071460922
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803,0.46155645903087406,0.37185650677381327,0,0.473981819800781,0.1,0.7059432937092509,0.9776108090690814
2018,2.934170857137817,0.6771163516471885,275,89,0,0,0,31.153179726626675,29.018829443542646,0.593847141880014,0.40829830112337606,18,0.7315172170265924,0.6833856785711137,0.7049162006865314,0.9777911445553884
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289,0.5061550921573896,0.4361845467322574,1,0.5363774990927959,0.1,0.708839669328669,0.978248031694749
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888,0.49493613368898126,0.40605181558814385,0,0.5414325844150597,0.1,0.7045327445335579,0.9731451654486925
2021,4.40001046268583,1.0153870298505765,267,22,75,0,0,31.17327691252347,29.11475898999052,0.6557528064115977,0.39512916151221383,31,0.7395560913853103,0.7750006539178644,0.6984461237527223,0.9767412020596159
2022,4.792463965222505,1.105953222743655,265,21,78,0,0,31.42976354335792,29.036070260454675,0.6251925070281003,0.35875501604943455,13,0.8407420605224929,0.7995289978264066,0.6503901931728076,0.9806456018396946
2023,2.437814977268157,0.5625726870618825,278,86,0,0,0,30.978330465543493,29.036161410291022,0.5913886265353553,0.43160804148595555,17,0.6615775125933198,0.6523634360792598,0.7051948339661466,0.9732835821393389
2024,9.011733471131716,2.073933182397436,256,15,20,15,59,31.95171248452768,29.539456441037327,0.7794232212268126,0.4616867445466945,60,1.0,1.0,0.6156984876778293,0.9767136384505241
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.07995209288753,0.4323135200867243,0.36740729920802034,0,0.4001286981158515,0.1,0.5583287536080246,0.9742569997820059
