year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,7.633330684126624,2.281849741874151,173,18,24,66,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.4828308290753642,0.11142249901739174,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.616471142287902,0.14226257129720815,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,4.9482238240113015,1.1418978055410696,266,19,79,0,0,30.90150755463839,28.694001418728547
2004,4.253683284642899,0.9789298518082289,270,19,76,0,0,30.85328286939342,28.562501719801695
2005,3.715954708193376,0.8575280095830868,271,21,72,0,0,30.947197836866245,28.644141276610917
2006,0.45736955996659134,0.10554682153075186,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,1.4333359418131937,0.3307698327261217,284,80,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.47818691140970976,0.11035082570993301,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,15.141260610534246,3.494137063969442,229,19,21,13,82,31.54643204812009,29.20073851293853
2011,0.4806378840707473,0.11091643478555707,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,2.6483177133523266,0.6111502415428447,276,88,0,0,0,30.598120378216663,28.800759657901686
2014,7.918607627465044,1.8273709909534717,255,18,22,69,0,31.22183727178657,28.815977770203073
2015,1.5341015887298168,0.3540234435530346,282,82,0,0,0,30.54441827116396,29.104950679256763
2016,15.451391035971048,3.5559365671823784,232,19,19,13,82,31.65441310774793,29.188950901731744
2017,2.5118424386211737,0.579655947374117,277,87,0,0,0,30.509341233562147,28.8985796102803
2018,5.496251528982368,1.2683657374574697,266,16,82,0,0,31.153179726626675,29.018829443542646
2019,6.665759259286031,1.5382521367583153,239,37,49,39,0,30.64482031603601,29.1110878449289
2020,5.231105036145089,1.2038707480443493,265,20,80,0,0,30.68076568906623,29.080152773776888
2021,9.242136708459615,2.132800778875296,243,24,24,17,56,31.17327691252347,29.11475898999052
2022,7.510892190534235,1.7332828132002083,259,15,23,67,0,31.42976354335792,29.036070260454675
2023,6.7295392963610245,1.552970606852544,259,18,27,60,0,30.978330465543493,29.036161410291022
2024,14.45415066512687,3.326434673618239,240,17,17,12,79,31.95171248452768,29.539456441037327
2025,0.7555644369386886,0.17532434448301062,362,0,0,0,0,30.324708429349823,29.079952092887535
