feature,importance
sr_norm,0.3917685809249358
oni_lag60,0.20933085707147878
cdr_norm_lag14,0.09674160618991161
pcrvi,0.04784831428146997
pcrvi_lag7,0.03785054246974452
doy_sin,0.03600864235152766
bh_norm_lag14,0.02816704137152065
dmi_lag60,0.025296689859003227
sst_anomaly,0.019318599819477335
cdr_norm,0.01889793746949084
ta_norm,0.01832108315134149
pcrvi_lag14,0.015597070558818493
cdr_norm_lag7,0.012107019462585855
doy_cos,0.009245764825545602
ta_norm_lag14,0.008728008120702267
bh_norm,0.006861151676967927
sr_norm_lag14,0.005392839193875998
ta_norm_lag7,0.0037135571891913945
sr_norm_lag7,0.003669147693229602
bh_norm_lag7,0.0026103353250408862
wq_norm_lag7,0.0006612642029533625
la_norm,0.0005664712239978277
la_norm_lag14,0.0004421758816201478
wq_norm_lag14,0.00032832362803865764
la_norm_lag7,0.00026640940890909756
wq_norm,0.00026056664862104283
