feature,importance
pcrvi_lag7,0.34021932
sr_norm_lag14,0.28838286
pcrvi_lag14,0.13787279
doy_cos,0.06732914
pcrvi,0.02899347
oni_lag60,0.02275716
bh_norm_lag14,0.01598725
bh_norm,0.015839497
bh_norm_lag7,0.013126868
sr_norm,0.011683774
sst_anomaly,0.009985964
cdr_norm,0.008703013
dmi_lag60,0.0076689585
cdr_norm_lag14,0.007253817
cdr_norm_lag7,0.005201576
sr_norm_lag7,0.0050965645
ta_norm,0.0036161363
ta_norm_lag7,0.0032459232
ta_norm_lag14,0.0021841868
doy_sin,0.002043205
wq_norm,0.0007310591
la_norm,0.00065898016
la_norm_lag14,0.00042964472
la_norm_lag7,0.00041096887
wq_norm_lag14,0.00035997792
wq_norm_lag7,0.0002179686
