feature,importance,display_name
pcrvi,0.4789192173455267,Coral Reef Vulnerability Index (pCRVI)
doy_sin,0.15926926338313951,Seasonal Cycle (sine) (DoY_sin)
oni_lag60,0.11102498962495815,El Niño Index (60-day lag) (ONI_L60)
cdr_norm_lag14,0.07781927916801765,Climate Driver Response (14-day lag) (CDR_L14)
sr_norm,0.04274974327238504,Seasonal Bleaching Risk (SR)
cdr_norm_lag7,0.034770817545964894,Climate Driver Response (7-day lag) (CDR_L7)
bh_norm_lag14,0.023630678456157295,Population Vulnerability (14-day lag) (BH_L14)
dmi_lag60,0.01347553334146042,Indian Ocean Dipole (60-day lag) (DMI_L60)
pcrvi_lag14,0.009677872598857386,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
cdr_norm,0.006703979201886847,Climate Driver Response (CDR)
ta_norm,0.006607227320082131,Thermal Anomaly (TA)
sr_norm_lag7,0.006032567818156637,Seasonal Bleaching Risk (7-day lag) (SR_L7)
pcrvi_lag7,0.005255991942770387,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
doy_cos,0.004915778034121639,Seasonal Cycle (cosine) (DoY_cos)
sst_anomaly,0.003774829277215389,SST Anomaly (SSTA)
ta_norm_lag14,0.003630028837647149,Thermal Anomaly (14-day lag) (TA_L14)
bh_norm_lag7,0.0032931167347916485,Population Vulnerability (7-day lag) (BH_L7)
ta_norm_lag7,0.0026920513804741513,Thermal Anomaly (7-day lag) (TA_L7)
bh_norm,0.002510680929155431,Population Vulnerability (BH)
sr_norm_lag14,0.001963914974174847,Seasonal Bleaching Risk (14-day lag) (SR_L14)
la_norm,0.00046341903594860674,Light Availability (LA)
la_norm_lag7,0.0003506757917888485,Light Availability (7-day lag) (LA_L7)
wq_norm_lag7,0.0001620545824744309,Water Quality Stress (7-day lag) (WQ_L7)
la_norm_lag14,0.00015850161352717564,Light Availability (14-day lag) (LA_L14)
wq_norm,0.00011148796018539177,Water Quality Stress (WQ)
wq_norm_lag14,3.629982913226459e-05,Water Quality Stress (14-day lag) (WQ_L14)
