year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,2.285971090725129,0.6833507886865154,196,85,0,0,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,0.6120666380555961,0.1412461472435991,364,0,0,0,0,30.90150755463839,28.694001418728547
2004,0.4477635071303269,0.10304694410670535,365,0,0,0,0,30.85328286939342,28.562501719801695
2005,0.3240372701392964,0.07477783157060686,364,0,0,0,0,30.947197836866245,28.644141276610917
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,7.626702850183146,1.7600083500422643,253,19,29,63,0,31.54643204812009,29.20073851293853
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686
2014,2.6262453758856217,0.6060566252043742,276,88,0,0,0,31.22183727178657,28.815977770203073
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763
2016,8.006337846354803,1.8425544632706945,254,18,26,19,48,31.65441310774793,29.188950901731744
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803
2018,2.574322317310042,0.5940743809177019,277,87,0,0,0,31.153179726626675,29.018829443542646
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888
2021,3.7834376565952668,0.8731009976758308,270,23,71,0,0,31.17327691252347,29.11475898999052
2022,4.293073249709151,0.9907092114713426,268,22,74,0,0,31.42976354335792,29.036070260454675
2023,1.5357847277828907,0.35441186025759014,283,81,0,0,0,30.978330465543493,29.036161410291022
2024,8.362647724242091,1.9245545447570842,257,16,21,17,54,31.95171248452768,29.539456441037327
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.079952092887535
