feature,importance
pcrvi_lag14,0.3326554656316095
pcrvi_lag7,0.25698522071321184
bh_norm,0.07049988528532537
sst_anomaly,0.06751611237112164
pcrvi,0.06207826686040289
oni_lag60,0.04433587461103919
dmi_lag60,0.0300917417808681
cdr_norm,0.022647288698657755
bh_norm_lag7,0.018967015829687253
cdr_norm_lag14,0.015169399244434572
doy_sin,0.01497143921690833
sr_norm,0.014502787536345835
ta_norm,0.01388602155389676
bh_norm_lag14,0.009437302748916894
cdr_norm_lag7,0.006844215181194442
sr_norm_lag14,0.004250624097237833
doy_cos,0.0028218380838638574
ta_norm_lag14,0.002727167400144628
sr_norm_lag7,0.0024785174407774284
ta_norm_lag7,0.0019739781544192347
wq_norm_lag7,0.0013770674982651204
wq_norm_lag14,0.0013359311143853318
wq_norm,0.0010266200672414281
la_norm_lag7,0.0005768130757026881
la_norm_lag14,0.0004474517869139257
la_norm,0.0003959540174281477
