feature,importance
pcrvi,0.3694679
doy_sin,0.2617164
oni_lag60,0.053121552
cdr_norm,0.04935914
bh_norm,0.042083684
cdr_norm_lag14,0.039344158
bh_norm_lag7,0.03242706
bh_norm_lag14,0.02974391
pcrvi_lag7,0.02244306
dmi_lag60,0.018006815
sr_norm,0.016123442
sr_norm_lag14,0.014426184
pcrvi_lag14,0.011137933
cdr_norm_lag7,0.00927325
sst_anomaly,0.0052822204
ta_norm_lag14,0.0050054775
ta_norm_lag7,0.0041472726
sr_norm_lag7,0.0032026814
la_norm_lag14,0.0027949421
ta_norm,0.0022323057
la_norm,0.0020313004
wq_norm_lag14,0.0017811271
la_norm_lag7,0.0017055497
doy_cos,0.0014259719
wq_norm,0.0010782331
wq_norm_lag7,0.00063851086
