feature,importance,display_name
pcrvi,0.3999050323967332,Coral Reef Vulnerability Index (pCRVI)
doy_sin,0.21541427619321865,Seasonal Cycle (sine) (DoY_sin)
cdr_norm_lag14,0.09620051764855948,Climate Driver Response (14-day lag) (CDR_L14)
oni_lag60,0.08359500920925136,El Niño Index (60-day lag) (ONI_L60)
dmi_lag60,0.07821876581780923,Indian Ocean Dipole (60-day lag) (DMI_L60)
bh_norm_lag7,0.026688817373847772,Population Vulnerability (7-day lag) (BH_L7)
ta_norm,0.013821586643903807,Thermal Anomaly (TA)
bh_norm,0.010628527187127236,Population Vulnerability (BH)
cdr_norm,0.010594495126405819,Climate Driver Response (CDR)
doy_cos,0.00978427683257939,Seasonal Cycle (cosine) (DoY_cos)
sst_anomaly,0.00874234419874389,SST Anomaly (SSTA)
wq_norm_lag14,0.00688200108514264,Water Quality Stress (14-day lag) (WQ_L14)
bh_norm_lag14,0.00617834081978904,Population Vulnerability (14-day lag) (BH_L14)
sr_norm_lag7,0.005626579288150772,Seasonal Bleaching Risk (7-day lag) (SR_L7)
ta_norm_lag14,0.00505242118255727,Thermal Anomaly (14-day lag) (TA_L14)
pcrvi_lag14,0.003757726284530892,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
cdr_norm_lag7,0.0030458192958439803,Climate Driver Response (7-day lag) (CDR_L7)
wq_norm,0.002975099140966835,Water Quality Stress (WQ)
wq_norm_lag7,0.0027709454137221923,Water Quality Stress (7-day lag) (WQ_L7)
pcrvi_lag7,0.002235198773935103,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
sr_norm_lag14,0.0021413293855533735,Seasonal Bleaching Risk (14-day lag) (SR_L14)
la_norm,0.0016480664844101707,Light Availability (LA)
ta_norm_lag7,0.001449022105736931,Thermal Anomaly (7-day lag) (TA_L7)
sr_norm,0.0014016344497289517,Seasonal Bleaching Risk (SR)
la_norm_lag14,0.000717487216076396,Light Availability (14-day lag) (LA_L14)
la_norm_lag7,0.0005246804456756156,Light Availability (7-day lag) (LA_L7)
