week_start,week_end,iso_year,iso_week,pcrvi_mean,pcrvi_max,pcrvi_min,pcrvi_trend,risk_category,dhw_mean,dhw_max,recommendation,alert_color,ta_mean,as_mean,sr_mean,cdr_mean,bh_mean,wq_mean,la_mean
1997-12-29,1998-01-04,1998,1,0.4437,0.4654,0.4208,0.015319,Moderate,,,WATCH: Risk rising. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2133,0.0,0.1649,0.8575,0.9,0.6188,0.946
1998-01-05,1998-01-11,1998,2,0.4742,0.4884,0.4624,-0.002204,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1701,0.0,0.1761,0.8575,0.9,0.6188,0.9102
1998-01-12,1998-01-18,1998,3,0.4537,0.4679,0.442,0.00059,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1468,0.0,0.1943,0.8575,0.9,0.6304,0.8198
1998-01-19,1998-01-25,1998,4,0.4773,0.4823,0.4679,-0.001711,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1857,0.0,0.217,0.8575,0.9,0.6434,0.8985
1998-01-26,1998-02-01,1998,5,0.5028,0.5122,0.4887,0.004023,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2243,0.0,0.2438,0.8513,0.9,0.6871,0.8811
1998-02-02,1998-02-08,1998,6,0.4932,0.5056,0.4852,0.000236,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1923,0.0,0.2743,0.8138,0.9,0.6566,0.9304
1998-02-09,1998-02-15,1998,7,0.5034,0.5146,0.4888,-0.004467,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1971,0.0,0.308,0.8138,0.9,0.6111,0.8821
1998-02-16,1998-02-22,1998,8,0.4812,0.488,0.4695,-0.002684,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1934,0.0,0.3446,0.8138,0.9,0.5932,0.8526
1998-02-23,1998-03-01,1998,9,0.484,0.5038,0.4695,0.006645,Moderate,,,WATCH: Risk rising. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2634,0.0,0.3834,0.7805,0.9,0.57,0.9242
1998-03-02,1998-03-08,1998,10,0.484,0.5034,0.4605,-0.007581,Moderate,,,WATCH: Risk falling. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1654,0.0,0.4238,0.5808,0.9,0.5893,0.9247
1998-03-09,1998-03-15,1998,11,0.4678,0.4767,0.4611,-0.001465,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2154,0.0,0.4654,0.5808,0.9,0.59,0.9036
1998-03-16,1998-03-22,1998,12,0.4919,0.5038,0.4798,0.003939,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.3258,0.0,0.5075,0.5808,0.9,0.5646,0.9356
1998-03-23,1998-03-29,1998,13,0.4929,0.5042,0.4826,-0.002438,Moderate,0.0,0.0,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2988,0.0,0.5495,0.5808,0.9,0.5125,0.9349
1998-03-30,1998-04-05,1998,14,0.5284,0.5647,0.4942,0.010143,High,0.0,0.0,ELEVATED ALERT: Risk rising. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.2679,0.2143,0.5908,0.5438,0.9,0.6564,0.9346
1998-04-06,1998-04-12,1998,15,0.5263,0.5647,0.4959,-0.010239,High,0.0,0.0,ELEVATED ALERT: Risk falling. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.2388,0.1214,0.6307,0.5289,0.9,0.5691,0.8903
1998-04-13,1998-04-19,1998,16,0.5145,0.5268,0.5032,0.002992,Moderate,0.0,0.0,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.294,0.1,0.6688,0.5289,0.9,0.5888,0.8448
1998-04-20,1998-04-26,1998,17,0.5357,0.5416,0.5277,0.001999,Moderate,0.0,0.0,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.4139,0.1,0.7044,0.5289,0.9,0.5429,0.8907
1998-04-27,1998-05-03,1998,18,0.6025,0.6578,0.5496,0.019544,High,0.39,0.94,ELEVATED ALERT: Risk rising. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.6297,0.1431,0.737,0.4985,0.9,0.5821,0.9195
1998-05-04,1998-05-10,1998,19,0.6795,0.6897,0.6725,-0.000377,High,1.75,2.29,ELEVATED ALERT: Risk stable. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.7093,0.3766,0.7662,0.4578,0.9,0.5124,0.8585
1998-05-11,1998-05-17,1998,20,0.6382,0.6567,0.6267,-0.002814,High,2.29,2.29,ELEVATED ALERT: Risk stable. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.4499,0.6106,0.7916,0.4578,0.9,0.5053,0.7509
1998-05-18,1998-05-24,1998,21,0.6365,0.6402,0.6345,0.000248,High,2.29,2.29,ELEVATED ALERT: Risk stable. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.3515,0.6399,0.8127,0.4578,0.9,0.569,0.5811
1998-05-25,1998-05-31,1998,22,0.61,0.6353,0.5954,-0.007865,High,2.29,2.29,ELEVATED ALERT: Risk falling. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.267,0.5075,0.8293,0.4578,0.9,0.5293,0.5935
1998-06-01,1998-06-07,1998,23,0.5463,0.5717,0.5178,-0.011193,High,2.29,2.29,ELEVATED ALERT: Risk falling. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.2959,0.304,0.8411,0.3536,0.9,0.5293,0.58
1998-06-08,1998-06-14,1998,24,0.5004,0.5151,0.4856,-0.005592,Moderate,2.29,2.29,WATCH: Risk falling. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2916,0.2434,0.8479,0.3536,0.9,0.4995,0.616
1998-06-15,1998-06-21,1998,25,0.4725,0.4842,0.4633,-0.003096,Moderate,2.29,2.29,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1983,0.2429,0.8497,0.3536,0.9,0.506,0.5818
1998-06-22,1998-06-28,1998,26,0.4606,0.4633,0.4574,-0.001262,Moderate,2.29,2.29,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.19,0.2429,0.8465,0.3536,0.9,0.5105,0.4671
1998-06-29,1998-07-05,1998,27,0.4481,0.4574,0.4362,-0.004034,Moderate,2.29,2.29,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2216,0.2429,0.8382,0.1545,0.9,0.5078,0.5287
1998-07-06,1998-07-12,1998,28,0.435,0.4384,0.4299,0.000152,Moderate,2.29,2.29,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2176,0.2429,0.825,0.0748,0.9,0.5015,0.5932
1998-07-13,1998-07-19,1998,29,0.427,0.4356,0.4172,-0.002746,Moderate,2.29,2.29,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.204,0.2429,0.8071,0.0748,0.9,0.4846,0.7519
1998-07-20,1998-07-26,1998,30,0.4166,0.425,0.4133,-0.002089,Moderate,1.89,2.29,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2096,0.1997,0.7847,0.0748,0.9,0.4912,0.4896
