Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.0817,0.0426,1.0,0.0,0.0,0.0,0.0426,0.9574,1.0,10167
0.2,0.0817,0.0426,1.0,0.0,0.0,0.0,0.0426,0.9574,1.0,10167
0.25,0.0817,0.0426,1.0,0.0,0.0,0.0,0.0426,0.9574,1.0,10167
0.3,0.0838,0.0437,1.0,0.0342,0.0023,0.0268,0.0437,0.9563,0.9732,9906
0.35,0.1032,0.0544,1.0,0.111,0.0244,0.2266,0.0544,0.9456,0.7734,7961
0.4,0.1651,0.0905,0.9376,0.2109,0.0948,0.5186,0.09,0.9095,0.419,4485
0.45,0.3096,0.1944,0.7598,0.336,0.2594,0.6198,0.1832,0.8056,0.14,1692
0.5,0.4971,0.4312,0.5866,0.4773,0.4711,0.5522,0.3307,0.5688,0.0344,589
0.55,0.5019,0.5632,0.4527,0.4854,0.4823,0.437,0.335,0.4368,0.0156,348
0.6,0.4916,0.7339,0.3695,0.5068,0.4766,0.3636,0.3259,0.2661,0.006,218
0.65,0.3512,0.8796,0.2194,0.4295,0.34,0.2181,0.213,0.1204,0.0013,108
0.7,0.2144,1.0,0.1201,0.34,0.2072,0.1201,0.1201,0.0,0.0,52
0.75,0.0841,1.0,0.0439,0.2052,0.0808,0.0439,0.0439,0.0,0.0,19
