year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,2.285971090725129,0.6833507886865154,196,85,0,0,0,31.467375855178368,28.859798649961725,0.6896737348000287,0.43696405092781276,31,0.8371956684472692,0.6428731931703207,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.42501118700929413,0.3587009885080643,0,0.35292431533483676,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.4172967116371054,0.3599103597346743,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793,0.4486958040598618,0.3779615372292393,0,0.41612617980327543,0.1,0.7107473218766303,0.9707652773210502
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171222,0.473257689281313,0.40894901946328494,0,0.4727975121504599,0.1,0.6946668702169028,0.9816246817679524
2003,0.6120666380555961,0.1412461472435991,364,0,0,0,0,30.90150755463839,28.694001418728547,0.5653711204747609,0.41548156478762327,5,0.6094396650346794,0.26938109607925503,0.7060314350583593,0.9789956441091932
2004,0.4477635071303269,0.1030469441067053,365,0,0,0,0,30.85328286939342,28.56250171980169,0.5681330059598125,0.41222223315029893,5,0.5901497909366924,0.22255776643371988,0.7270085972224384,0.976384563653427
2005,0.3240372701392964,0.0747778315706068,364,0,0,0,0,30.947197836866245,28.64414127661092,0.5718173799938685,0.3945143949569804,6,0.6277157779258218,0.19085316411387043,0.7710294571047741,0.9793357333707335
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524,0.4749393576623677,0.40961623284435866,0,0.38258128428059596,0.1,0.7044052091569716,0.9720643795312649
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374,0.4855753595430401,0.3920858834159823,0,0.41512649594593964,0.1,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.45564364262637613,0.38693388322150796,0,0.40759412634333714,0.1,0.7049469082713763,0.9787269741485642
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004,0.47402291658780527,0.4124485777878076,0,0.3952901071665849,0.1,0.7748699298630881,0.9788515200943991
2010,7.626702850183146,1.7600083500422643,253,19,29,63,0,31.54643204812009,29.20073851293853,0.7174910261613637,0.432594612988424,63,0.8688181456239575,0.9766689281364467,0.7035794771867028,0.9774817872140303
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051,0.4188587519716896,0.34248649193560676,0,0.42108217212958576,0.1,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.4066079347844536,0.3561602856918029,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686,0.43822481126478674,0.36255898375463186,0,0.48808479446598907,0.1,0.7053731095856637,0.9737753555513667
2014,2.6262453758856217,0.6060566252043742,276,88,0,0,0,31.22183727178657,28.815977770203077,0.6181825006722905,0.40434153368996895,24,0.7375715518939515,0.6641403359928513,0.7071479161481946,0.9801169291827823
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763,0.5086717434957815,0.4458226838728552,0,0.4680126348415058,0.1,0.6898501559144707,0.9758626545403482
2016,8.006337846354803,1.8425544632706945,254,18,26,19,48,31.65441310774793,29.188950901731744,0.7555230767269614,0.4301649645171671,51,0.9120105694750947,1.0,0.7032372043149915,0.9845147071460922
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803,0.4715574241469952,0.3710326060160699,0,0.4539818198007808,0.1,0.7059432937092509,0.9776108090690814
2018,2.574322317310042,0.5940743809177019,277,87,0,0,0,31.153179726626675,29.018829443542646,0.5913290777380917,0.40602847391529256,19,0.7115172170265922,0.6608951448318776,0.7049162006865314,0.9777911445553884
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289,0.5075411832885816,0.4349900130013964,1,0.5163774990927955,0.1,0.708839669328669,0.978248031694749
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888,0.49629720412192496,0.4047571661894214,0,0.5214325844150594,0.1,0.7045327445335579,0.9731451654486925
2021,3.7834376565952663,0.8731009976758308,270,23,71,0,0,31.17327691252347,29.11475898999052,0.656695684588666,0.41599135442632246,39,0.7195560913853101,0.7364648535372043,0.6984461237527223,0.9767412020596159
2022,4.293073249709151,0.9907092114713426,268,22,74,0,0,31.42976354335792,29.036070260454675,0.6678886867277628,0.3696768134946747,23,0.8207420605224925,0.7683170781068218,0.6503901931728076,0.9806456018396946
2023,1.5357847277828909,0.3544118602575901,283,81,0,0,0,30.978330465543493,29.036161410291022,0.5708932078207987,0.42626057278637364,11,0.6415775125933194,0.4771832139365033,0.7051948339661466,0.9732835821393389
2024,8.362647724242091,1.924554544757084,257,16,21,17,54,31.95171248452768,29.539456441037327,0.7900032567683088,0.4596126359901851,58,1.0,1.0,0.6156984876778293,0.9767136384505241
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.07995209288753,0.4228722254696916,0.36679066633835666,0,0.3801286981158512,0.1,0.5583287536080246,0.9742569997820059
